location_name,highest_wind_speed,latitude,longitude,high_wind_speed_count
Cullen,64.0,57.6919685,-2.8242377,3
Portknockie,64.0,57.7034964,-2.8581483,3
Lintmill,64.0,55.51599635,-2.5996993737080225,3
Buckie,61.0,57.6762821,-2.9648973,3
Findochty,61.0,57.6977626,-2.9030377,3
Fochabers,61.0,57.6140998,-3.0974475,3
Nether Dallachy,61.0,57.6603208,-3.0734293,3
Portgordon,61.0,57.6634931,-3.0160386,3
Lower Auchenreath,61.0,57.6603292,-3.0528593,3
Mosstodloch,61.0,57.6255764,-3.1255805,3
Lossiemouth,60.0,57.7220766,-3.2814625,2
Hopeman,60.0,57.7073279,-3.4331357,2
