Town,Latitude,Longitude
Amsterdam,50.8463914,0.5222693
Ardkeen,54.4344151,-5.5331244
Ardmillan,55.9384662,-3.2252298
Athens,53.8758372,-1.7197484
Auchenreoch,56.7815183,-2.6535733
Balgrochan,55.9462846,-4.2087617
Ballycarry,54.7772418,-5.7257227
Ballydrain,54.5166670,-5.6833330
Ballygowan,54.5018813,-5.7918013
Ballymacarret,54.5978097,-5.8974846
Ballywalter,54.5439048,-5.4867684
Balmoral,57.0406914,-3.2301053
Balmore,55.9346593,-4.2389935
Bangor,53.2277163,-4.1268822
Banstead,51.3238969,-0.1986813
Bar Hall,54.3380100,-5.5079063
Barcelona,50.3547004,-4.5028673
Bardowie,55.9331640,-4.2687363
Barnehurst,51.4650212,0.1596467
Barnes Cray,51.4553884,0.1936238
Barnsbury,51.5389351,-0.1147350
Bayswater,51.5122764,-0.1883854
Bearsden,55.9204610,-4.3332046
Beccles,52.4583779,1.5622924
Bedworth,52.4792826,-1.4663202
Belfast,54.5975805,-5.9277097
Belgravia,51.4982128,-0.1534998
Bellahill,56.6884922,-2.7581861
Belvedere,51.4922273,0.1533667
Berlin,51.2796120,-0.5107592
Bexley,51.4416793,0.1504880
Bexleyheath,51.4634854,0.1480552
Birdston,55.9521279,-4.1569970
Birmingham,52.4796992,-1.9026911
Bishopbriggs,55.9039659,-4.2244495
Blackfen,51.4505408,0.1030617
Blairskaith,55.9528680,-4.2515364
Bognor Regis,50.7834973,-0.6730718
Bridgend,51.5049859,-3.5756674
Brixton,51.4633914,-0.1148023
Broadford,57.2410146,-5.9061803
Brompton,54.3617085,-1.4237114
Buchley,55.9220249,-4.2572363
Buckie,57.6763316,-2.9648866
Budapest,52.4608733,-2.4634635
Burgess Hill,50.9575365,-0.1332853
Burghead,57.7016831,-3.4901659
Cadder,55.8967587,-4.2760654
Canonbury,51.5423339,-0.0914333
Carrickfergus,54.7136165,-5.8073112
Carrowdore,54.5761845,-5.5536121
Chertsey,51.3922960,-0.5038294
Chichester,50.8364862,-0.7791721
Clachan Of Campsie,55.9886619,-4.2285997
Clapham,51.4614469,-0.1386270
Clapham Park,51.4562426,-0.1318354
Clerkenwell,51.5237268,-0.1055555
Cliftonville,51.3878281,1.3983818
Cloghy,54.4283218,-5.4809287
Coedpoeth,53.0539823,-3.0639560
Coldblow,51.4383389,0.1624884
Colston,55.8984135,-4.2365661
Comber,54.5498342,-5.7454313
Conlig,54.6294391,-5.6772097
Copthorne,51.1375872,-0.1197822
Cork,51.6129063,-0.0321927
Crawfordsburn,54.6584310,-5.7279320
Crawley,51.1103444,-0.1801094
Crayford,51.4515584,0.1787188
Cullen,57.6911126,-2.8195913
Cultra,54.6523133,-5.8049808
Cunningburn,54.5691740,-5.6276574
Donaghadee,54.6425446,-5.5375794
Drumhirk,54.2860708,-6.7051782
Dublin,57.7386289,-4.3255225
Dufftown,57.4449043,-3.1283484
East Grinstead,51.1285649,-0.0142988
East Wickham,51.4714275,0.1104824
Eden,54.6056052,-2.6715019
Edinburgh,55.9533456,-3.1883749
Egham,51.4312585,-0.5473085
Elgin,57.6487891,-3.3148459
Erith,51.4808190,0.1792322
Exeter,50.7256138,-3.5269209
Falconwood,51.4592305,0.0793044
Farnham,51.2151749,-0.7984854
Finaghy,54.5638412,-5.9866704
Findhorn,57.6591141,-3.6107041
Findochty,57.6977626,-2.9030377
Finsbury,51.5217980,-0.0914245
Finsbury Park,51.5648345,-0.1064144
Fluchter,55.9440943,-4.2658689
Fochabers,57.6140998,-3.0974475
Foots Cray,51.4186732,0.1180187
Forres,57.6098640,-3.6132150
Furzedown,51.4243890,-0.1537022
Glastry,54.4833330,-5.4833330
Godalming,51.1857892,-0.6149074
Greencastle,54.0406567,-6.1048484
Greenisland,54.7002866,-5.8728529
Greyabbey,54.5362024,-5.5604594
Groomsport,54.6748519,-5.6180066
Guildford,51.2356068,-0.5732063
Harestanes,55.9447839,-4.1293928
Haverhill,52.0832721,0.4353932
Hayston,56.3690517,-2.9413834
Haywards Heath,50.9999616,-0.1049747
Helens Bay,54.6754993,-5.7360033
Hereford,52.0553813,-2.7151735
High Gallowhill,55.8461586,-4.4282036
Highbury,51.5457996,-0.1027127
Holywood,54.6404494,-5.8361723
Hopeman,57.7073279,-3.4331357
Horsham,51.0630273,-0.3295028
Ipswich,52.0579324,1.1528095
Islington,51.5384287,-0.0999051
Kearney,54.3885234,-5.4609132
Keith,57.5427292,-2.9523291
Kenilworth,52.3450526,-1.5816028
Kennington,51.4882861,-0.1058829
Killinchy,54.4722828,-5.6756451
Kilroot,54.7265510,-5.7692322
Kinloss,57.6348640,-3.5702598
Kircubbin,54.4870904,-5.5320100
Kirkintilloch,55.9383914,-4.1549049
Kirkistown,55.1382346,-6.6076289
Knight's Hill,51.4248112,-0.1052709
Knock,54.6379431,-2.4982748
Knockandhu,57.3199290,-3.4106454
Knockando,57.4654479,-3.3557951
Knockbog,57.5794657,-2.7836690
Lambeth,51.4952111,-0.1163354
Leatherhead,51.2955044,-0.3293100
Leeds,53.7974185,-1.5437941
Legoniel,54.6336285,-6.0083733
Lennoxtown,55.9731494,-4.1992427
Lenzie,55.9213422,-4.1539264
Lessness Heath,51.4825690,0.1462903
Lhanbryde,57.6355473,-3.2163153
Lintmill,55.5159963,-2.5996994
Lisbon,51.6487027,-3.9482061
Lisson Grove,51.5271231,-0.1733507
Little Green,52.4959178,1.1313988
Littlehampton,50.8095801,-0.5424424
Llan-Y-Pwll,53.0609631,-2.9381237
Llanarmon Dyffryn ...,52.8846481,-3.2378104
Llay,53.0970796,-2.9994725
Llwydarth,51.5994694,-3.6472708
Llwynmawr,52.9251076,-3.1579074
Lochhill,54.8936219,-4.0757872
London,51.4893335,-0.1440551
Longlands,51.4304854,0.0841774
Lossiemouth,57.7220766,-3.2814625
Lower Auchenreath,57.6603292,-3.0528593
Lower Holloway,51.5544402,-0.1148807
Lowestoft,52.4766308,1.7537638
Madrid,51.4791489,-0.2393671
Maesteg,51.6088841,-3.6583848
Maggieknockater,57.4983180,-3.1396696
Maida Vale,51.5275920,-0.1905916
Manchester,53.4794892,-2.2451148
Marchwiel,53.0234574,-2.9598927
Marford,53.0911459,-2.9600738
Marylebone,51.5196374,-0.1519627
Marypark,57.4297748,-3.3423989
Mawdlam,51.5227522,-3.7198529
Mayfair,51.5110872,-0.1470580
Merehead,52.9433385,-2.8146581
Merthyr Mawr,51.4850621,-3.6089595
Milan,53.4937143,-2.2398928
Mill Hills,52.0969479,1.3143185
Mill Street,56.3975631,-3.4304958
Millersneuk,55.9209746,-4.1514319
Millisle,54.6078200,-5.5284632
Milngavie,55.9410791,-4.3178027
Milton,52.2422961,0.1604726
Milton Of Campsie,55.9625010,-4.1617181
Miltonduff,57.6216657,-3.3715193
Minera,53.0595773,-3.0847218
Monks Eleigh,52.0920401,0.8694358
Monks Kirby,52.4443994,-1.3166666
Monwode Lea,52.5216599,-1.6073581
Moreton Morrell,52.2010643,-1.5469506
Moreton Paddox,52.1878758,-1.5539013
Morton Bagot,52.2803947,-1.8377381
Moss,53.6108785,-1.1024914
Moss Of Barmuckity,57.6356647,-3.2688632
Moss-Side,53.4547635,-2.2442531
Mosstodloch,57.6255764,-3.1255805
Moulton,53.2228077,-2.5176178
Mount Pleasant,51.6224968,-3.9493530
Mount Sion,53.0782629,-3.0647794
Mountain Ash,51.6821033,-3.3764418
Mousley End,52.3231174,-1.6875805
Moycroft,57.6491424,-3.2925175
Mulben,57.5420310,-3.0796910
Munich,51.9089457,0.0782445
Mutford,52.4359451,1.6513565
Mynachdy,52.5436552,-3.7875692
Myton,54.0928225,-1.3306632
Nacton,52.0154281,1.2335833
Nant-Y-Moel,51.6259632,-3.5415682
Nantgarw,51.5620667,-3.2637425
Nantyffyllon,51.6218305,-3.6606476
Napton On The Hill,52.2456692,-1.3207064
Naughton,52.1023678,0.9575691
Nayland,51.9721605,0.8745995
Neal's Green,51.4509802,-0.1761938
Nebsworth,52.0816049,-1.7121165
Nether Dallachy,57.6603208,-3.0734293
Nether Whitacre,52.5336597,-1.6603787
Nethercote,52.0676866,-1.3052395
Nethermills,57.5389155,-2.8185170
New Arley,52.5047874,-1.5697679
New Bilton,52.3730633,-1.2753185
New Brighton,53.4385649,-3.0434220
New Broughton,53.0580787,-3.0324199
New Elgin,57.6367392,-3.3077192
New End,53.2506959,-0.1427819
New York,55.0252998,-1.4869496
Newbold On Avon,52.3905485,-1.2822115
Newbold Pacey,52.2120064,-1.5667409
Newbold-On-Stour,52.1145861,-1.6400434
Newbridge,51.6653714,-3.1442293
Newcastle,54.9738474,-1.6131572
Newhall Green,52.4717582,-1.6135224
Newnham,51.2790688,0.7937117
Newton,52.0322303,0.7943311
Newton Regis,52.6636359,-1.5912951
Newtown,52.5135785,-3.3143710
Newtownards,54.5933779,-5.6960935
Nextend,52.2120499,-2.9776910
No Man's Heath,52.6772443,-1.5726082
Norbridge,52.1038693,-2.4141276
North Cornelly,51.5214781,-3.7026884
North Cray,51.4251795,0.1345992
North End,51.4672048,0.1854508
North Green,52.2447062,1.5104391
Northend,51.6264523,-0.9401183
Northumberland Heath,51.4777524,0.1636911
Norton,54.1324141,-0.7854029
Norton Canon,52.1217864,-2.9060655
Norton Lindsey,52.2701459,-1.6603264
Norton Little Green,52.2605619,0.8965270
Norwich,52.6285576,1.2923954
Nottage,51.4902694,-3.7018750
Nowton,52.2150263,0.7317251
Nuneaton,52.5227973,-1.4679663
Nuns Quarter,54.5000000,-5.5333330
Nutfield,51.2268501,-0.1345793
Oak Hill,51.6748795,0.0778683
Oakley,52.1710689,-0.5243670
Oakley Park,51.2449098,-1.1961349
Occold,52.2921826,1.1595123
Ocle Pychard,52.1116981,-2.5903466
Offton,52.1062544,1.0146335
Ogmore Vale,51.6029957,-3.5416491
Old Arley,52.5131924,-1.5847807
Old Bexley,53.4528284,-1.9510567
Old Country,52.4612719,-2.1455885
Old Felixstowe,51.9702624,1.3671791
Old Forge,54.5422840,-5.9844407
Old Gore,51.9556275,-2.5396506
Old Newton,52.2245535,1.0039730
Old Wharf,52.6690063,-2.4561730
Oldhall Green,55.8517410,-4.4091762
Onehouse,52.1975136,0.9543305
Orcop,51.9317382,-2.7653335
Orcop Hill,51.9484573,-2.7580368
Orford,52.0949765,1.5344399
Ormeau,54.5854569,-5.9156597
Oslo,51.5471623,-0.0556001
Otley,53.9055083,-1.6938874
Oulton,52.4923127,1.7175239
Oulton Broad,52.4749845,1.7086107
Ousden,52.2079711,0.5433546
Outwood,53.7152957,-1.5104273
Overton,52.9698401,-2.9344704
Overton Bridge,52.9784362,-2.9624220
Oxgang,55.9356945,-4.1356956
Oxshott,51.3361004,-0.3625418
Oxted,51.2566507,-0.0041977
Pachesham Park,51.3193849,-0.3355337
Paddington,51.5161629,-0.1744856
Page's Green,54.7135600,-1.6389433
Pains Hill,52.1945669,1.0978376
Painters Green,52.9630120,-2.7408673
Pakefield,52.4521592,1.7254900
Pakenham,52.2708828,0.8240770
Palermo,51.5335131,-0.2394749
Palgrave,52.3644842,1.1044938
Palmers Cross,52.6126980,-2.1673040
Pandy,52.6266098,-3.6191026
Pant,51.7727516,-3.3563952
Pant-Y-Pyllau,52.3622273,-3.4976969
Pant-Yr-Awel,53.2026932,-3.4615353
Paradise Green,53.7842911,-1.7951080
Parham,52.1951933,1.3739492
Paris,53.5627520,-1.7661533
Park Barn,51.2461864,-0.6087393
Park Gate,50.8718293,-1.2683985
Park Lane,51.5060091,-0.1520396
Parkgate,53.2971886,-3.0836187
Parkside,52.8313357,-2.1261650
Parkway,53.4473192,-2.2454801
Parliament Heath,53.4349481,-2.7541462
Parton,54.5696004,-3.5802748
Paynes Green,51.1255498,-0.3603050
Peartree Green,50.9037457,-1.3790567
Peaslake,51.1916244,-0.4464771
Peasmarsh,50.9742747,0.6768528
Pembridge,52.2186352,-2.8928778
Pen-Rhos,53.0731151,-3.0728715
Pen-Y-Bryn,52.9728756,-3.4723308
Pen-Y-Cae,53.0009222,-3.0766660
Pen-Y-Fai,51.5253661,-3.5958372
Pen-Y-Park,53.2676495,-4.2994207
Pen-Y-Rhiw,51.8343982,-3.1552370
Pen-Yr-Heol,51.9055987,-3.2122542
Pencoed,51.5256116,-3.5064530
Pencombe,52.1715573,-2.5880184
Pencraig,52.2247312,-3.1002924
Penderyn,51.7687508,-3.5269801
Pendre,52.5872348,-4.0812170
Penley,52.9518814,-2.8728718
Penprysg,51.8580364,-3.1156418
Penrhiwceiber,51.6694039,-3.3709742
Penrhiwfer,51.5862081,-3.4347854
Penrhos,51.8009558,-2.8494736
Penrhys,51.6448998,-3.4423189
Pentonville,51.5321048,-0.1148938
Pentre,51.6553596,-3.4905245
Pentre Broughton,53.0732046,-3.0367443
Pentre Bychan,53.0220883,-3.0374028
Pentre Cilgwyn,52.7753114,-3.2485590
Pentre Maelor,53.0337450,-2.9347569
Pentrebach,51.7239358,-3.3566675
Penycae,53.0009222,-3.0766660
Penygraig,51.6132421,-3.4472294
Penywaun,51.7308006,-3.4846295
Peper Harow,51.1888456,-0.6648798
