Town,Latitude,Longitude
Milltown Of Auchinhove,57.12102521514971,-2.7376181074905594
Milltown Of Edinvillie,57.44829183482734,-3.223271334501517
Moats Tye,52.19473664985323,0.9852147712338719
Muir of Lochs,57.64803756122625,-3.1595977524064143
Orleton Common,52.33233202299937,-2.770233269491908
Pen-yr-englyn,51.75487255920659,-3.533960590214948
Perrystone Hill,51.983697965711656,-2.5228611783588106
Rhiwceiliog Pencoed,51.5463000104873,-3.4954390337667394
Rhiwinder,51.59815169050068,-3.4096922242640884
Rydes Hill,51.26974457095035,-0.6070608267632165
Tyntetown,51.66163607441332,-3.3514487868418126
Wern Tarw,51.5406930795694,-3.503998087248781
